2018-07-28 14:36:06.0265 | INFO  | [org.apache.juli.logging.DirectJDKLog:180] | Initializing ProtocolHandler ["http-nio-8080"]
2018-07-28 14:36:06.0286 | INFO  | [org.apache.juli.logging.DirectJDKLog:180] | Starting service [Tomcat]
2018-07-28 14:36:06.0287 | INFO  | [org.apache.juli.logging.DirectJDKLog:180] | Starting Servlet Engine: Apache Tomcat/8.5.31
2018-07-28 14:36:06.0541 | INFO  | [org.apache.juli.logging.DirectJDKLog:180] | Initializing Spring embedded WebApplicationContext
2018-07-28 14:36:06.0542 | INFO  | [org.springframework.boot.context.embedded.EmbeddedWebApplicationContext:276] | Root WebApplicationContext: initialization completed in 2536 ms
2018-07-28 14:36:06.0877 | INFO  | [org.springframework.boot.web.servlet.ServletRegistrationBean:191] | Mapping servlet: 'dispatcherServlet' to [/]
2018-07-28 14:36:06.0885 | INFO  | [org.springframework.boot.web.servlet.AbstractFilterRegistrationBean:259] | Mapping filter: 'characterEncodingFilter' to: [/*]
2018-07-28 14:36:06.0887 | INFO  | [org.springframework.boot.web.servlet.AbstractFilterRegistrationBean:259] | Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018-07-28 14:36:06.0889 | INFO  | [org.springframework.boot.web.servlet.AbstractFilterRegistrationBean:259] | Mapping filter: 'httpPutFormContentFilter' to: [/*]
2018-07-28 14:36:06.0889 | INFO  | [org.springframework.boot.web.servlet.AbstractFilterRegistrationBean:259] | Mapping filter: 'requestContextFilter' to: [/*]
2018-07-28 14:36:07.0564 | INFO  | [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter:534] | Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@8e0379d: startup date [Sat Jul 28 14:36:04 WAT 2018]; root of context hierarchy
